Date,Year,Month,Day,Sales
3/27/2019,2019,3,27,40446350.08
3/28/2019,2019,3,28,40246239.99
3/29/2019,2019,3,29,19282878.79
3/30/2019,2019,3,30,48231322.4
3/31/2019,2019,3,31,57808825.45
4/1/2019,2019,4,1,28072029.82
4/2/2019,2019,4,2,33824765.68
4/3/2019,2019,4,3,35486551.71
4/4/2019,2019,4,4,34365573.89
4/5/2019,2019,4,5,17280357.26
4/6/2019,2019,4,6,41519039.16
4/7/2019,2019,4,7,39681277.62
4/8/2019,2019,4,8,39530760.86
4/9/2019,2019,4,9,34957667.73
4/10/2019,2019,4,10,39931591.68
4/11/2019,2019,4,11,36319370.39
4/12/2019,2019,4,12,16779844.13
4/13/2019,2019,4,13,42024783.84
4/14/2019,2019,4,14,36692695.08
4/15/2019,2019,4,15,35749012.72
4/16/2019,2019,4,16,41157637.83
4/17/2019,2019,4,17,44984077.58
4/18/2019,2019,4,18,38697337.75
4/19/2019,2019,4,19,17062293.98
4/20/2019,2019,4,20,45764907.14
4/21/2019,2019,4,21,43171181.49
4/22/2019,2019,4,22,34124717.93
4/23/2019,2019,4,23,40149227.69
4/24/2019,2019,4,24,45128333.6
4/25/2019,2019,4,25,38118544.8
4/26/2019,2019,4,26,19291465.91
4/27/2019,2019,4,27,47992689.56
4/28/2019,2019,4,28,51727381.66
4/29/2019,2019,4,29,49535159.14
4/30/2019,2019,4,30,60280686.91
5/1/2019,2019,5,1,27348393.84
5/2/2019,2019,5,2,27213593.96
5/3/2019,2019,5,3,14869329.35
5/4/2019,2019,5,4,34610078.44
5/5/2019,2019,5,5,40034551.54
5/6/2019,2019,5,6,42979400.72
5/7/2019,2019,5,7,41866242.29
5/8/2019,2019,5,8,41703561.6
5/9/2019,2019,5,9,34778527.54
5/10/2019,2019,5,10,17523867.57
5/11/2019,2019,5,11,44610509.59
5/12/2019,2019,5,12,40777279.23
5/13/2019,2019,5,13,39064469.91
5/14/2019,2019,5,14,38677489.07
5/15/2019,2019,5,15,39736375.03
5/16/2019,2019,5,16,34326055.89
5/17/2019,2019,5,17,17110123.69
5/18/2019,2019,5,18,40953170.93
5/19/2019,2019,5,19,39924772.23
5/20/2019,2019,5,20,39492481.55
5/21/2019,2019,5,21,38438936.03
5/22/2019,2019,5,22,41458549.25
5/23/2019,2019,5,23,33573570.4
5/24/2019,2019,5,24,16455426.96
5/25/2019,2019,5,25,39231180.41
5/26/2019,2019,5,26,40911616.87
5/27/2019,2019,5,27,41783170.9
5/28/2019,2019,5,28,44088860.03
5/29/2019,2019,5,29,55325820.29
5/30/2019,2019,5,30,47719097.16
5/31/2019,2019,5,31,36141480.78
6/1/2019,2019,6,1,75675531.82
6/2/2019,2019,6,2,35170072.98
6/3/2019,2019,6,3,10464175.39
6/4/2019,2019,6,4,-18825.7
6/7/2019,2019,6,7,5408.35
6/8/2019,2019,6,8,38801228.45
6/9/2019,2019,6,9,41068256.17
6/10/2019,2019,6,10,43212511.54
6/11/2019,2019,6,11,44839878.67
6/12/2019,2019,6,12,47280147.97
6/13/2019,2019,6,13,44540223.32
6/14/2019,2019,6,14,21089144.33
6/15/2019,2019,6,15,49141569.81
6/16/2019,2019,6,16,46472543.06
6/17/2019,2019,6,17,44422394.8
6/18/2019,2019,6,18,41009692.84
6/19/2019,2019,6,19,43610860.93
6/20/2019,2019,6,20,39448963.34
6/21/2019,2019,6,21,19773664.28
6/22/2019,2019,6,22,44404117.64
6/23/2019,2019,6,23,44579158.46
6/24/2019,2019,6,24,46003114.15
6/25/2019,2019,6,25,40090052.98
6/26/2019,2019,6,26,43482786.62
6/27/2019,2019,6,27,41682995.92
6/28/2019,2019,6,28,19438843.38
6/29/2019,2019,6,29,51985237.7
6/30/2019,2019,6,30,62183891.14
7/1/2019,2019,7,1,27028092.41
7/2/2019,2019,7,2,31010425.86
7/3/2019,2019,7,3,38137815.21
7/4/2019,2019,7,4,38525239.99
7/5/2019,2019,7,5,17545616.36
7/6/2019,2019,7,6,45441136.99
7/7/2019,2019,7,7,40982423.68
7/8/2019,2019,7,8,39703843.22
7/9/2019,2019,7,9,37189328.43
7/10/2019,2019,7,10,39527647.14
7/11/2019,2019,7,11,32773311.57
7/12/2019,2019,7,12,16044567.3
7/13/2019,2019,7,13,39522618.67
7/14/2019,2019,7,14,37401234.57
7/15/2019,2019,7,15,38222222.57
7/16/2019,2019,7,16,37724408.11
7/17/2019,2019,7,17,41521927.05
7/18/2019,2019,7,18,36728892.4
7/19/2019,2019,7,19,17897915.15
7/20/2019,2019,7,20,47583910.42
7/21/2019,2019,7,21,43922199.36
7/22/2019,2019,7,22,46178766.72
7/23/2019,2019,7,23,43092515.51
7/24/2019,2019,7,24,42515410.6
7/25/2019,2019,7,25,37842424.73
7/26/2019,2019,7,26,17370655.59
7/27/2019,2019,7,27,43538804.08
7/28/2019,2019,7,28,45950091.95
7/29/2019,2019,7,29,45413243.57
7/30/2019,2019,7,30,48099414.95
7/31/2019,2019,7,31,64750824.03
8/1/2019,2019,8,1,31975584.91
8/2/2019,2019,8,2,24345640.69
8/3/2019,2019,8,3,44145481.17
8/4/2019,2019,8,4,46329805.08
8/5/2019,2019,8,5,47194096.86
8/6/2019,2019,8,6,43100210.09
8/7/2019,2019,8,7,58439954.45
8/8/2019,2019,8,8,77721500.34
8/9/2019,2019,8,9,16360770.58
8/10/2019,2019,8,10,10322343.77
8/14/2019,2019,8,14,17945680.45
8/15/2019,2019,8,15,32017417.03
8/16/2019,2019,8,16,17356883.09
8/17/2019,2019,8,17,43542055.11
8/18/2019,2019,8,18,44226486.64
8/19/2019,2019,8,19,48691367.22
8/20/2019,2019,8,20,48029029.9
8/21/2019,2019,8,21,49368465.1
8/22/2019,2019,8,22,42464231.37
8/23/2019,2019,8,23,21655796.34
8/24/2019,2019,8,24,49761144.98
8/25/2019,2019,8,25,49374740.57
8/26/2019,2019,8,26,47756088.77
8/27/2019,2019,8,27,44871932.79
8/28/2019,2019,8,28,50831373.05
8/29/2019,2019,8,29,48092608.21
8/30/2019,2019,8,30,25080671.3
8/31/2019,2019,8,31,72505129.93
9/1/2019,2019,9,1,31420794.37
9/2/2019,2019,9,2,34473558.75
9/3/2019,2019,9,3,45157690.5
9/4/2019,2019,9,4,45642283.43
9/5/2019,2019,9,5,38238908.39
9/6/2019,2019,9,6,20219975.28
9/7/2019,2019,9,7,45115734.52
9/8/2019,2019,9,8,47732525.38
9/9/2019,2019,9,9,40721443.91
9/10/2019,2019,9,10,43008482.75
9/11/2019,2019,9,11,43526881.58
9/12/2019,2019,9,12,38584481.2
9/13/2019,2019,9,13,18986868.84
9/14/2019,2019,9,14,44878940.27
9/15/2019,2019,9,15,42226685.58
9/16/2019,2019,9,16,41690716.11
9/17/2019,2019,9,17,42133839.21
9/18/2019,2019,9,18,42541203.01
9/19/2019,2019,9,19,36699112.66
9/20/2019,2019,9,20,19041430.62
9/21/2019,2019,9,21,42085995.05
9/22/2019,2019,9,22,40906551.24
9/23/2019,2019,9,23,39953186.32
9/24/2019,2019,9,24,39150517.5
9/25/2019,2019,9,25,38901860.15
9/26/2019,2019,9,26,39038557.12
9/27/2019,2019,9,27,20424709.22
9/28/2019,2019,9,28,51129586.62
9/29/2019,2019,9,29,57494118.91
9/30/2019,2019,9,30,74749291.71
10/1/2019,2019,10,1,17919251.42
10/2/2019,2019,10,2,24714181.36
10/3/2019,2019,10,3,32125987.04
10/4/2019,2019,10,4,16144960.79
10/5/2019,2019,10,5,38671946.57
10/6/2019,2019,10,6,37686826.74
10/7/2019,2019,10,7,34966935.48
10/8/2019,2019,10,8,33744597.83
10/9/2019,2019,10,9,37328018.29
10/10/2019,2019,10,10,37998653.8
10/11/2019,2019,10,11,18911982.9
10/12/2019,2019,10,12,48177959.79
10/13/2019,2019,10,13,46241304.5
10/14/2019,2019,10,14,47427002.01
10/15/2019,2019,10,15,41839895.31
10/16/2019,2019,10,16,42576898.32
10/17/2019,2019,10,17,38523173.71
10/18/2019,2019,10,18,17356392.94
10/19/2019,2019,10,19,46410769.97
10/20/2019,2019,10,20,44796828.51
10/21/2019,2019,10,21,43365050.49
10/22/2019,2019,10,22,42178005.24
10/23/2019,2019,10,23,43240899.92
10/24/2019,2019,10,24,35240244.54
10/25/2019,2019,10,25,14729512.28
10/26/2019,2019,10,26,41545504.61
10/27/2019,2019,10,27,42389808.13
10/28/2019,2019,10,28,46059181.92
10/29/2019,2019,10,29,47340626.5
10/30/2019,2019,10,30,53682795.13
10/31/2019,2019,10,31,66589384.15
11/1/2019,2019,11,1,9199872.18
11/2/2019,2019,11,2,33237197.95
11/3/2019,2019,11,3,36660216.78
11/4/2019,2019,11,4,38513143.74
11/5/2019,2019,11,5,39471437.8
11/6/2019,2019,11,6,37749193.43
11/7/2019,2019,11,7,32837754.07
11/8/2019,2019,11,8,15873456.39
11/9/2019,2019,11,9,34703624.95
11/10/2019,2019,11,10,28488618.77
11/11/2019,2019,11,11,35108954.38
11/12/2019,2019,11,12,36270103.86
11/13/2019,2019,11,13,37773276.88
11/14/2019,2019,11,14,36972779.78
11/15/2019,2019,11,15,15466902.3
11/16/2019,2019,11,16,43182224.83
11/17/2019,2019,11,17,39852092.18
11/18/2019,2019,11,18,38610613.29
11/19/2019,2019,11,19,39293172.94
11/20/2019,2019,11,20,39030037.41
11/21/2019,2019,11,21,34272560.5
11/22/2019,2019,11,22,15751496.05
11/23/2019,2019,11,23,42909612.84
11/24/2019,2019,11,24,38649122.34
11/25/2019,2019,11,25,38490127.69
11/26/2019,2019,11,26,37688460.62
11/27/2019,2019,11,27,43153606.92
11/28/2019,2019,11,28,40005645.54
11/29/2019,2019,11,29,22695702.98
11/30/2019,2019,11,30,64454560.27
12/1/2019,2019,12,1,27470105.72
12/2/2019,2019,12,2,31937725.06
12/3/2019,2019,12,3,31811974.94
12/4/2019,2019,12,4,33156646.09
12/5/2019,2019,12,5,33482098.47
12/6/2019,2019,12,6,15005122.5
12/7/2019,2019,12,7,38361598.81
12/8/2019,2019,12,8,36334815.33
12/9/2019,2019,12,9,33792708.05
12/10/2019,2019,12,10,35293593.35
12/11/2019,2019,12,11,34857456.68
12/12/2019,2019,12,12,31947711.51
12/13/2019,2019,12,13,14830528.36
12/14/2019,2019,12,14,40327652.82
12/15/2019,2019,12,15,32708029.44
12/16/2019,2019,12,16,29509819.41
12/17/2019,2019,12,17,34557756.59
12/18/2019,2019,12,18,37513719.86
12/19/2019,2019,12,19,29354479.76
12/20/2019,2019,12,20,7792104
12/21/2019,2019,12,21,11160557.24
12/22/2019,2019,12,22,7971867.78
12/23/2019,2019,12,23,9459370.11
12/24/2019,2019,12,24,27018458.88
12/25/2019,2019,12,25,32164013.33
12/26/2019,2019,12,26,31537556.92
12/27/2019,2019,12,27,13850647.02
12/28/2019,2019,12,28,38079580.98
12/29/2019,2019,12,29,35421141.04
12/30/2019,2019,12,30,33826716.34
12/31/2019,2019,12,31,31107401.03
1/1/2020,2020,1,1,45876212.44
1/2/2020,2020,1,2,40455921.99
1/3/2020,2020,1,3,18819222.3
1/4/2020,2020,1,4,41904566.26
1/5/2020,2020,1,5,39453758.75
1/6/2020,2020,1,6,40945533.87
1/7/2020,2020,1,7,40196659.03
1/8/2020,2020,1,8,40652757.89
1/9/2020,2020,1,9,36949177.33
1/10/2020,2020,1,10,17831445.73
1/11/2020,2020,1,11,47284566.99
1/12/2020,2020,1,12,36333801.59
1/13/2020,2020,1,13,40588948.97
1/14/2020,2020,1,14,40142906.54
1/15/2020,2020,1,15,45848747.56
1/16/2020,2020,1,16,41011830.2
1/17/2020,2020,1,17,19129708.93
1/18/2020,2020,1,18,62194020.5
1/19/2020,2020,1,19,61124669.87
1/20/2020,2020,1,20,43481715.41
1/21/2020,2020,1,21,40347396
1/22/2020,2020,1,22,41660155.57
1/23/2020,2020,1,23,37199971.83
1/24/2020,2020,1,24,17611021.67
1/25/2020,2020,1,25,45014900
1/26/2020,2020,1,26,40537046.28
1/27/2020,2020,1,27,46696655.44
1/28/2020,2020,1,28,47690348.24
1/29/2020,2020,1,29,51576806.43
1/30/2020,2020,1,30,54748789.93
1/31/2020,2020,1,31,30992395.92
2/1/2020,2020,2,1,31376783.2
2/2/2020,2020,2,2,37182049.24
2/3/2020,2020,2,3,41098551.17
2/4/2020,2020,2,4,45209235.17
2/5/2020,2020,2,5,45137195.86
2/6/2020,2020,2,6,45380101.49
2/7/2020,2020,2,7,21933238.82
2/8/2020,2020,2,8,46264731.89
2/9/2020,2020,2,9,37637771.2
2/10/2020,2020,2,10,41493157.43
2/11/2020,2020,2,11,40421283.07
2/12/2020,2020,2,12,43039262.41
2/13/2020,2020,2,13,42266456.21
2/14/2020,2020,2,14,17866644.37
2/15/2020,2020,2,15,46618638.4
2/16/2020,2020,2,16,45487825.6
2/17/2020,2020,2,17,44085810.39
2/18/2020,2020,2,18,42159586.49
2/19/2020,2020,2,19,45823536.91
2/20/2020,2020,2,20,42578207.95
2/21/2020,2020,2,21,19021362.1
2/22/2020,2020,2,22,50982878.08
2/23/2020,2020,2,23,47073605.02
2/24/2020,2020,2,24,44310729.44
2/25/2020,2020,2,25,46424093.44
2/26/2020,2020,2,26,51834399.77
2/27/2020,2020,2,27,53511537.05
2/28/2020,2020,2,28,30196275.9
2/29/2020,2020,2,29,80767869.93
3/1/2020,2020,3,1,27374427.52
3/2/2020,2020,3,2,33625905.74
3/3/2020,2020,3,3,37580587.44
3/4/2020,2020,3,4,43196254.26
3/5/2020,2020,3,5,38698675.4
3/6/2020,2020,3,6,20672190.8
3/7/2020,2020,3,7,54645521.53
3/8/2020,2020,3,8,38772371.42
3/9/2020,2020,3,9,41676084.42
3/10/2020,2020,3,10,40963506.12
3/11/2020,2020,3,11,43251300.28
3/12/2020,2020,3,12,41493890.93
3/13/2020,2020,3,13,20026869.81
3/14/2020,2020,3,14,52997392.06
3/15/2020,2020,3,15,45928753.66
3/16/2020,2020,3,16,48202723.25
3/17/2020,2020,3,17,45085481.93
3/18/2020,2020,3,18,47937926.28
3/19/2020,2020,3,19,47871869.94
3/20/2020,2020,3,20,24491556.66
3/21/2020,2020,3,21,59665935.66
3/22/2020,2020,3,22,58089730.86
3/23/2020,2020,3,23,62877683.6
3/24/2020,2020,3,24,70717256.41
3/25/2020,2020,3,25,72958230.48
3/26/2020,2020,3,26,42213237.31
3/27/2020,2020,3,27,19556450.25
3/28/2020,2020,3,28,45573330.71
3/29/2020,2020,3,29,38857777.02
3/30/2020,2020,3,30,46204607.29
3/31/2020,2020,3,31,60172321.37
4/1/2020,2020,4,1,32451907.06
4/2/2020,2020,4,2,34513748.13
4/3/2020,2020,4,3,21590927.35
4/4/2020,2020,4,4,44338727.25
4/5/2020,2020,4,5,42013438.22
4/6/2020,2020,4,6,39984345.74
4/7/2020,2020,4,7,40134601.3
4/8/2020,2020,4,8,40772722.97
4/9/2020,2020,4,9,40326347.81
4/10/2020,2020,4,10,18646131.27
4/11/2020,2020,4,11,44527279.43
4/12/2020,2020,4,12,40089070.18
4/13/2020,2020,4,13,39933253.28
4/14/2020,2020,4,14,39259582.36
4/15/2020,2020,4,15,37586375.17
4/16/2020,2020,4,16,38263721.94
4/17/2020,2020,4,17,20416471.1
4/18/2020,2020,4,18,49317906.28
4/19/2020,2020,4,19,42232555.02
4/20/2020,2020,4,20,41571335.3
4/21/2020,2020,4,21,43672464.72
4/22/2020,2020,4,22,41213178.89
4/23/2020,2020,4,23,39184978.27
4/24/2020,2020,4,24,19863279.64
4/25/2020,2020,4,25,43055049.01
4/26/2020,2020,4,26,34528606.33
4/27/2020,2020,4,27,40819873.59
4/28/2020,2020,4,28,44407918.01
4/29/2020,2020,4,29,46226410.64
4/30/2020,2020,4,30,55619176.65
5/1/2020,2020,5,1,13961174.17
5/2/2020,2020,5,2,37870368.99
5/3/2020,2020,5,3,33224590.5
5/4/2020,2020,5,4,36985256.96
5/5/2020,2020,5,5,39749293.16
5/6/2020,2020,5,6,56325215.31
5/7/2020,2020,5,7,55224958.11
5/8/2020,2020,5,8,28271297.59
5/9/2020,2020,5,9,60066522.94
5/10/2020,2020,5,10,48254997.99
5/11/2020,2020,5,11,46647252.39
5/12/2020,2020,5,12,49517981.39
5/13/2020,2020,5,13,47485838.95
5/14/2020,2020,5,14,49497848.77
5/15/2020,2020,5,15,27369525.87
5/16/2020,2020,5,16,72359063.12
5/17/2020,2020,5,17,36477866.8
5/18/2020,2020,5,18,39729315.92
5/19/2020,2020,5,19,42908297.02
5/20/2020,2020,5,20,48207861.02
5/21/2020,2020,5,21,47787770.81
5/22/2020,2020,5,22,25722634.1
5/23/2020,2020,5,23,11123349.33
5/24/2020,2020,5,24,1417092.34
5/25/2020,2020,5,25,110944.52
5/26/2020,2020,5,26,215892
5/27/2020,2020,5,27,29407144.7
5/28/2020,2020,5,28,43718313.54
5/29/2020,2020,5,29,24132678.68
5/30/2020,2020,5,30,56999650.81
5/31/2020,2020,5,31,64751478.14
6/1/2020,2020,6,1,32601776.38
6/2/2020,2020,6,2,44503497.7
6/3/2020,2020,6,3,46715535.72
6/4/2020,2020,6,4,40520272.95
6/5/2020,2020,6,5,23180420.05
6/6/2020,2020,6,6,54360914.89
6/7/2020,2020,6,7,44810794.5
6/8/2020,2020,6,8,45971028.68
6/9/2020,2020,6,9,52946016.27
6/10/2020,2020,6,10,46827237.8
6/11/2020,2020,6,11,46510326.02
6/12/2020,2020,6,12,26334376.8
6/13/2020,2020,6,13,53337428.78
6/14/2020,2020,6,14,47594776.69
6/15/2020,2020,6,15,50204117.44
6/16/2020,2020,6,16,54370268.22
6/17/2020,2020,6,17,46412139.57
6/18/2020,2020,6,18,44680454.79
6/19/2020,2020,6,19,22618523.93
6/20/2020,2020,6,20,55936138.7
6/21/2020,2020,6,21,51916704.64
6/22/2020,2020,6,22,46828808.44
6/23/2020,2020,6,23,48385538.06
6/24/2020,2020,6,24,47132165.2
6/25/2020,2020,6,25,41334944.66
6/26/2020,2020,6,26,21366761.14
6/27/2020,2020,6,27,54915767.92
6/28/2020,2020,6,28,51747037.89
6/29/2020,2020,6,29,57866750.26
6/30/2020,2020,6,30,71173663.47
7/1/2020,2020,7,1,32417906.65
7/2/2020,2020,7,2,39207476.89
7/3/2020,2020,7,3,20334933.66
7/4/2020,2020,7,4,50886827.77
7/5/2020,2020,7,5,44156338.68
7/6/2020,2020,7,6,43658031.85
7/7/2020,2020,7,7,51145067.25
7/8/2020,2020,7,8,47159452.22
7/9/2020,2020,7,9,44326998.4
7/10/2020,2020,7,10,19946984.05
7/11/2020,2020,7,11,50930221.89
7/12/2020,2020,7,12,41776048.73
7/13/2020,2020,7,13,43639606.96
7/14/2020,2020,7,14,50950408.67
7/15/2020,2020,7,15,48772039.94
7/16/2020,2020,7,16,45417425.29
7/17/2020,2020,7,17,23939087.89
7/18/2020,2020,7,18,55312570.33
7/19/2020,2020,7,19,47264738.96
7/20/2020,2020,7,20,43789021.13
7/21/2020,2020,7,21,44062125.41
7/22/2020,2020,7,22,44575232.41
7/23/2020,2020,7,23,47800461.09
7/24/2020,2020,7,24,29019340.02
7/25/2020,2020,7,25,62034387.95
7/26/2020,2020,7,26,63054268.86
7/27/2020,2020,7,27,62268310.81
7/28/2020,2020,7,28,93095056.02
7/29/2020,2020,7,29,46496942.36
7/30/2020,2020,7,30,9890464.67
7/31/2020,2020,7,31,-30172.65
8/3/2020,2020,8,3,25680442.55
8/4/2020,2020,8,4,45751439.93
8/5/2020,2020,8,5,42377406.65
8/6/2020,2020,8,6,45746407.89
8/7/2020,2020,8,7,27051447.19
8/8/2020,2020,8,8,57873434.5
8/9/2020,2020,8,9,51552192.65
8/10/2020,2020,8,10,51189666.34
8/11/2020,2020,8,11,49676957.93
8/12/2020,2020,8,12,49078431.2
8/13/2020,2020,8,13,53553058.18
8/14/2020,2020,8,14,21988092.56
8/15/2020,2020,8,15,55082854.42
8/16/2020,2020,8,16,47667091.23
8/17/2020,2020,8,17,45537959.61
8/18/2020,2020,8,18,49508179.2
8/19/2020,2020,8,19,48015175.83
8/20/2020,2020,8,20,44796110.06
8/21/2020,2020,8,21,21831763.81
8/22/2020,2020,8,22,49687371.33
8/23/2020,2020,8,23,43068281.93
8/24/2020,2020,8,24,45749359.45
8/25/2020,2020,8,25,51731334.3
8/26/2020,2020,8,26,13063586.38
